RiverName,RiverCode,Date,Center Latitude,Center Longitude,WaterTemp,mmHg,DO%,DOmg.L,C.us.-cm,pH.mV,ORP.mV,Mean.Depth,Mean.Flow
Point Leaminton River,PLR,6-Sep-20,49.321675,-55.398408,19.3,762.8,108.9,10.1,24.6,-17.4,216.8,0.4,1.2
Ragged Harbour River,RAR,4-Sep-20,49.391564,-54.108000,20.3,756.0,97.9,8.6,51.1,4.6,203.9,0.6,0.2
Robinsons River,ROB,9-Sep-20,48.246054,-58.807352,17.8,773.0,104.6,9.9,286.3,-19.5,172.7,0.3,0.6
Southeast Brook,SEB,6-Sep-20,47.922991,-55.742125,16.5,763.8,109.1,10.7,32.6,14.3,153.7,0.4,0.6
Big Salmonier Brook,BSA,2-Sep-20,47.057987,-55.221131,18.1,,,,,17.1,,0.4,0.5
Tides Brook,TIB,3-Sep-20,47.127425,-55.264184,17.2,,,,,22.9,,0.5,0.9
Cape Roger Brook,CRB,3-Sep-20,47.440758,-54.693660,17.2,,,,,0.0,,0.4,1.3
Piper's Hole River,PHR,3-Sep-20,47.922363,-54.276202,17.8,,,,,0.0,,0.2,0.9
Black River (Placentia),BLA,3-Sep-20,47.886787,-54.163463,18.7,,,,,11.4,,0.5,1.5
Grand Pond (Plum Point),GPO,4-Sep-20,51.087398,-56.867923,15.2,,,,,-47.7,,0.2,0.0
Ste. Genevieve's,SGR,5-Sep-20,51.137612,-56.795800,14.7,,,,,-34.3,,0.3,0.9
Pinsent's Brook,PIB,5-Sep-20,51.491397,-55.873069,15.4,,,,,5.7,,0.4,0.8
Parker's River (Northern Penninsula),PRI,5-Sep-20,51.497900,-55.732732,16.5,,,,,-57.1,,0.4,0.5
Castor River,CRI,6-Sep-20,50.918154,-56.950381,14.2,,,,,-80.0,,0.5,1.2
North East Brook (roddickton),NBR,6-Sep-20,50.924122,-56.112638,14.9,,,,,-62.9,,0.6,0.8
Main Brook (norther penninsula),MBR,6-Sep-20,51.173267,-56.019963,16.8,,,,,-80.0,,0.6,0.5
Eddie's Cove,EDI,6-Sep-20,51.413247,-56.449337,16.9,,,,,-74.3,,0.2,0.6
Western Arm Brook,WAB,6-Sep-20,51.190339,-56.764744,16.7,,,,,-74.3,,0.3,0.7
Little Brook Pond,LBP,7-Sep-20,50.551428,-57.391159,16.1,,,,,-51.4,,0.2,0.6
Trout River,TRR,8-Sep-20,49.476566,-58.129197,15.6,,,,,0.0,,0.5,1.4
Cook's Brook (corner Brook),COO,8-Sep-20,48.969704,-58.065553,17.4,,,,,-80.0,,0.2,0.8
Hampden,HMP,9-Sep-20,49.540441,-56.871903,15.2,,,,,-11.4,,0.4,0.0
Woodstock,WOO,9-Sep-20,49.965347,-55.882592,16.3,,,,,-22.9,,0.3,0.4
Conne River,CNR,10-Sep-20,47.923268,-55.681584,19.8,767.9,104.5,9.5,23.2,-2.6,226.3,0.3,0.5
Simm's Brook,SIM,11-Sep-20,47.672353,-55.476866,17.8,760.7,109.1,10.4,19.5,54.8,224.8,0.2,0.4
Bay Bulls River,BYR,2-Sep-20,47.317693,-52.814835,14.2,764.6,85.5,8.7,31.8,9.0,158.8,0.2,0.7
